"State","Grade","Subject","Percentile","Score.2024","Score.2022","Score.2019","Score.Change","percentiletest","percentilesignificant","gaptest","gapsignificant"
"Connecticut",4,"Mathematics",10,189.718000030517,189.527500152588,202.189501953125,-12.471501922608,"<
Diff = -12
P-value = 0.0003",1,"<
Diff = -15
P-value = 0.0122",1
"Connecticut",4,"Mathematics",25,215.105499267578,212.550499725342,222.586001586914,-7.48050231933598,"<
Diff = -7
P-value = 0.0017",1,"<
Diff = -15
P-value = 0.0122",1
"Connecticut",4,"Mathematics",50,241.553001403809,237.866997528076,245.079500579834,-3.526499176025,"x
Diff = -4
P-value = 0.0847",0,"<
Diff = -15
P-value = 0.0122",1
"Connecticut",4,"Mathematics",75,265.077500915528,260.761000061035,264.830996704101,0.246504211427009,"x
Diff = 0
P-value = 0.9019",0,"<
Diff = -15
P-value = 0.0122",1
"Connecticut",4,"Mathematics",90,284.331498718262,281.629499816895,282.151498413086,2.18000030517601,"x
Diff = 2
P-value = 0.3749",0,"<
Diff = -15
P-value = 0.0122",1
"Delaware",4,"Mathematics",10,184.425499725342,180.069999694824,196.973001861572,-12.54750213623,"<
Diff = -13
P-value = 0.0006",1,"x
Diff = -10
P-value = 0.1010",0
"Delaware",4,"Mathematics",25,209.864500427246,202.021001434326,218.086499786377,-8.22199935913099,"<
Diff = -8
P-value = 0.0000",1,"x
Diff = -10
P-value = 0.1010",0
"Delaware",4,"Mathematics",50,235.719500732422,226.837000274658,240.361499023438,-4.64199829101599,"<
Diff = -5
P-value = 0.0215",1,"x
Diff = -10
P-value = 0.1010",0
"Delaware",4,"Mathematics",75,258.337001037598,249.560000610352,261.482499694824,-3.14549865722603,"x
Diff = -3
P-value = 0.1320",0,"x
Diff = -10
P-value = 0.1010",0
"Delaware",4,"Mathematics",90,277.968498229981,268.288497924805,280.863500976563,-2.89500274658201,"x
Diff = -3
P-value = 0.1829",0,"x
Diff = -10
P-value = 0.1010",0
"District of Columbia",4,"Mathematics",10,178.425998687744,176.849000549316,189.650000762939,-11.224002075195,"<
Diff = -11
P-value = 0.0000",1,"<
Diff = -16
P-value = 0.0019",1
"District of Columbia",4,"Mathematics",25,202.660499572754,197.368500518799,212.021999359131,-9.36149978637701,"<
Diff = -9
P-value = 0.0001",1,"<
Diff = -16
P-value = 0.0019",1
"District of Columbia",4,"Mathematics",50,230.481000518799,220.4125,235.410499572754,-4.929499053955,"<
Diff = -5
P-value = 0.0001",1,"<
Diff = -16
P-value = 0.0019",1
"District of Columbia",4,"Mathematics",75,258.267999267578,247.98800201416,258.186502075195,0.081497192382983,"x
Diff = 0
P-value = 0.9696",0,"<
Diff = -16
P-value = 0.0019",1
"District of Columbia",4,"Mathematics",90,283.158999633789,272.27850189209,278.436996459961,4.722003173828,"x
Diff = 5
P-value = 0.0849",0,"<
Diff = -16
P-value = 0.0019",1
"DoDEA",4,"Mathematics",10,216.273998260498,217.069999694824,218.646499633789,-2.37250137329102,"x
Diff = -2
P-value = 0.1133",0,"x
Diff = -4
P-value = 0.2154",0
"DoDEA",4,"Mathematics",25,233.775999450684,233.21549987793,234.523501586914,-0.747502136229997,"x
Diff = -1
P-value = 0.5452",0,"x
Diff = -4
P-value = 0.2154",0
"DoDEA",4,"Mathematics",50,251.833499145508,249.942501831055,251.306500244141,0.526998901366994,"x
Diff = 1
P-value = 0.5971",0,"x
Diff = -4
P-value = 0.2154",0
"DoDEA",4,"Mathematics",75,268.687501525879,267.010501098633,267.67149810791,1.01600341796899,"x
Diff = 1
P-value = 0.3025",0,"x
Diff = -4
P-value = 0.2154",0
"DoDEA",4,"Mathematics",90,283.519500732422,281.860501098633,281.802998352051,1.71650238037097,"x
Diff = 2
P-value = 0.3428",0,"x
Diff = -4
P-value = 0.2154",0
"Florida",4,"Mathematics",10,199.88099822998,200.781499481201,209.616500854492,-9.73550262451198,"<
Diff = -10
P-value = 0.0000",1,"<
Diff = -13
P-value = 0.0004",1
"Florida",4,"Mathematics",25,223.014000701904,221.231500244141,227.687500762939,-4.67350006103501,"<
Diff = -5
P-value = 0.0039",1,"<
Diff = -13
P-value = 0.0004",1
"Florida",4,"Mathematics",50,245.027001190186,242.087998962402,247.262999725342,-2.235998535156,"x
Diff = -2
P-value = 0.1581",0,"<
Diff = -13
P-value = 0.0004",1
"Florida",4,"Mathematics",75,265.753500366211,261.849502563477,265.15899810791,0.59450225830102,"x
Diff = 1
P-value = 0.7003",0,"<
Diff = -13
P-value = 0.0004",1
"Florida",4,"Mathematics",90,283.717001342773,278.788502502441,280.674998474121,3.04200286865199,"x
Diff = 3
P-value = 0.0657",0,"<
Diff = -13
P-value = 0.0004",1
"Georgia",4,"Mathematics",10,189.755499267578,194.218001556397,195.931996917725,-6.17649765014701,"x
Diff = -6
P-value = 0.1879",0,"x
Diff = -6
P-value = 0.4607",0
"Georgia",4,"Mathematics",25,214.492499542236,214.460500335693,216.445500183106,-1.95300064086999,"x
Diff = -2
P-value = 0.2783",0,"x
Diff = -6
P-value = 0.4607",0
"Georgia",4,"Mathematics",50,238.450999450684,236.419000244141,238.03099975586,0.419999694824014,"x
Diff = 0
P-value = 0.8644",0,"x
Diff = -6
P-value = 0.4607",0
"Georgia",4,"Mathematics",75,260.064498901367,256.535501098633,259.646998596192,0.417500305174997,"x
Diff = 0
P-value = 0.8135",0,"x
Diff = -6
P-value = 0.4607",0
"Georgia",4,"Mathematics",90,278.179496765137,272.889001464844,278.822001647949,-0.642504882811977,"x
Diff = -1
P-value = 0.8006",0,"x
Diff = -6
P-value = 0.4607",0
"Hawaii",4,"Mathematics",10,191.374501037598,193.997500610352,194.70650100708,-3.33199996948198,"x
Diff = -3
P-value = 0.2824",0,"x
Diff = -7
P-value = 0.1874",0
"Hawaii",4,"Mathematics",25,217.098497772217,216.06900177002,217.94049987793,-0.842002105712993,"x
Diff = -1
P-value = 0.6965",0,"x
Diff = -7
P-value = 0.1874",0
"Hawaii",4,"Mathematics",50,242.094998931885,238.94049911499,240.79649887085,1.29850006103499,"x
Diff = 1
P-value = 0.3231",0,"x
Diff = -7
P-value = 0.1874",0
"Hawaii",4,"Mathematics",75,264.082000732422,258.923999023438,261.299998474121,2.78200225830096,">
Diff = 3
P-value = 0.0213",1,"x
Diff = -7
P-value = 0.1874",0
"Hawaii",4,"Mathematics",90,281.881498718262,275.777496337891,278.058999633789,3.82249908447295,"x
Diff = 4
P-value = 0.1003",0,"x
Diff = -7
P-value = 0.1874",0
"Idaho",4,"Mathematics",10,191.935500335693,192.724498748779,201.830001068115,-9.89450073242199,"<
Diff = -10
P-value = 0.0115",1,"x
Diff = -11
P-value = 0.1251",0
"Idaho",4,"Mathematics",25,215.6494972229,215.245500183106,221.983500671387,-6.33400344848698,"<
Diff = -6
P-value = 0.0001",1,"x
Diff = -11
P-value = 0.1251",0
"Idaho",4,"Mathematics",50,240.874999237061,238.182999420166,243.931500244141,-3.05650100708002,"x
Diff = -3
P-value = 0.1020",0,"x
Diff = -11
P-value = 0.1251",0
"Idaho",4,"Mathematics",75,263.125001525879,258.733502197266,263.265002441406,-0.140000915527025,"x
Diff = 0
P-value = 0.9430",0,"x
Diff = -11
P-value = 0.1251",0
