"State","Grade","Subject","Percentile","Score.2024","Score.2022","Score.2019","Score.Change","Group"
"Montana",8,"Reading","10th",210.759999847412,215.6125,218.061500549316,-7.30150070190402,"All students"
"Nebraska",8,"Reading","10th",203.953500366211,209.902500152588,216.542501068115,-12.589000701904,"All students"
"Nevada",8,"Reading","10th",198.280000305176,208.537499237061,206.569998168945,-8.289997863769,"All students"
"New Hampshire",8,"Reading","10th",214.841000366211,214.419999694824,222.200500488281,-7.35950012206999,"All students"
"New Jersey",8,"Reading","10th",208.874001312256,218.428500366211,214.882498931885,-6.008497619629,"All students"
"New Mexico",8,"Reading","10th",192.578498077393,198.421500396729,199.150498199463,-6.57200012206999,"All students"
"New York",8,"Reading","10th",196.931001281738,209.761499023437,210.491499328613,-13.560498046875,"All students"
"North Carolina",8,"Reading","10th",200.185499572754,206.732998657227,211.857499694824,-11.67200012207,"All students"
"North Dakota",8,"Reading","10th",211.826998138428,210.28450012207,218.26549987793,-6.43850173950202,"All students"
"Ohio",8,"Reading","10th",208.79049911499,210.005001068115,216.954000091553,-8.163500976563,"All students"
"Oklahoma",8,"Reading","10th",196.311499786377,201.681998443604,213.016500091553,-16.705000305176,"All students"
"Oregon",8,"Reading","10th",200.103499603272,206.195998382568,213.556001281738,-13.452501678466,"All students"
"Pennsylvania",8,"Reading","10th",203.810499572754,205.12550201416,213.051000213623,-9.24050064086902,"All students"
"Rhode Island",8,"Reading","10th",201.170999908447,204.173001098633,206.924000549316,-5.753000640869,"All students"
"South Carolina",8,"Reading","10th",199.504999542236,199.463499450684,209.740498352051,-10.235498809815,"All students"
"South Dakota",8,"Reading","10th",211.99100112915,213.185999298096,216.646499633789,-4.65549850463901,"All students"
"Tennessee",8,"Reading","10th",205.091500091553,205.076502227783,214.74049987793,-9.648999786377,"All students"
"Texas",8,"Reading","10th",197.595500946045,207.785999298096,207.059499359131,-9.46399841308599,"All students"
"Utah",8,"Reading","10th",211.019501495361,215.325499725342,219.179000854492,-8.15949935913099,"All students"
"Vermont",8,"Reading","10th",203.728498840332,213.174502563477,216.672499847412,-12.94400100708,"All students"
"Virginia",8,"Reading","10th",198.309998321533,206.60950088501,208.957999420166,-10.648001098633,"All students"
"Washington",8,"Reading","10th",205.108500671387,209.740000152588,212.239498901367,-7.13099822998001,"All students"
"West Virginia",8,"Reading","10th",192.47749786377,195.136499023438,205.795999145508,-13.318501281738,"All students"
"Wisconsin",8,"Reading","10th",207.949998474121,212.719498443603,218.248500061035,-10.298501586914,"All students"
"Wyoming",8,"Reading","10th",211.239499664307,212.878997802734,219.289498901367,-8.04999923706001,"All students"
"National",4,"Mathematics","10th",190.965998077393,191.531000518799,198.929501342774,-7.96350326538098,"All students"
"Alabama",4,"Mathematics","10th",192.397998809814,189.815999603272,189.148000335693,3.24999847412099,"All students"
"Alaska",4,"Mathematics","10th",172.190000152588,175.718001556397,185.563997650146,-13.373997497558,"All students"
"Arizona",4,"Mathematics","10th",185.105500793457,186.803001403809,195.458499908447,-10.35299911499,"All students"
"Arkansas",4,"Mathematics","10th",183.387002563477,182.626999664307,190.055500030518,-6.66849746704099,"All students"
"California",4,"Mathematics","10th",184.90599975586,184.667001342773,190.857499694824,-5.95149993896402,"All students"
"Colorado",4,"Mathematics","10th",192.205498504639,191.911499023438,197.457500457764,-5.25200195312502,"All students"
"Connecticut",4,"Mathematics","10th",189.718000030517,189.527500152588,202.189501953125,-12.471501922608,"All students"
"Delaware",4,"Mathematics","10th",184.425499725342,180.069999694824,196.973001861572,-12.54750213623,"All students"
"District of Columbia",4,"Mathematics","10th",178.425998687744,176.849000549316,189.650000762939,-11.224002075195,"All students"
"DoDEA",4,"Mathematics","10th",216.273998260498,217.069999694824,218.646499633789,-2.37250137329102,"All students"
"Florida",4,"Mathematics","10th",199.88099822998,200.781499481201,209.616500854492,-9.73550262451198,"All students"
"Georgia",4,"Mathematics","10th",189.755499267578,194.218001556397,195.931996917725,-6.17649765014701,"All students"
"Hawaii",4,"Mathematics","10th",191.374501037598,193.997500610352,194.70650100708,-3.33199996948198,"All students"
"Idaho",4,"Mathematics","10th",191.935500335693,192.724498748779,201.830001068115,-9.89450073242199,"All students"
"Illinois",4,"Mathematics","10th",188.871500396729,192.188499450684,193.624502563477,-4.75300216674799,"All students"
"Indiana",4,"Mathematics","10th",193.784000396728,195.367999267578,203.898999023438,-10.11499862671,"All students"
"Iowa",4,"Mathematics","10th",191.981999206543,198.283501434326,198.875500488281,-6.893501281738,"All students"
"Kansas",4,"Mathematics","10th",190.872500610352,192.164501190186,198.004500579834,-7.131999969482,"All students"
"Kentucky",4,"Mathematics","10th",195.37799911499,191.84949798584,198.116000366211,-2.73800125122102,"All students"
"Louisiana",4,"Mathematics","10th",190.654001617432,185.10299987793,191.088498687744,-0.434497070312005,"All students"
"Maine",4,"Mathematics","10th",188.895499420166,190.352499389648,199.280500793457,-10.385001373291,"All students"
"Maryland",4,"Mathematics","10th",181.670000457764,178.054497528076,192.150500488281,-10.480500030517,"All students"
"Massachusetts",4,"Mathematics","10th",197.617499542236,197.979501342773,205.325,-7.70750045776398,"All students"
"Michigan",4,"Mathematics","10th",188.31549987793,186.914000701904,194.416500091553,-6.101000213623,"All students"
"Minnesota",4,"Mathematics","10th",190.835501098633,192.367501068115,204.24400100708,-13.408499908447,"All students"
"Mississippi",4,"Mathematics","10th",202.086502075195,194.066498565674,205.954000854492,-3.86749877929699,"All students"
"Missouri",4,"Mathematics","10th",190.091499328613,184.560498046875,196.653500366211,-6.56200103759801,"All students"
"Montana",4,"Mathematics","10th",193.343999481201,198.975499725342,200.994502258301,-7.6505027771,"All students"
"Nebraska",4,"Mathematics","10th",193.321501159668,197.108500671387,203.163000488281,-9.841499328613,"All students"
"Nevada",4,"Mathematics","10th",183.657498931885,185.407999420166,195.558000183106,-11.900501251221,"All students"
"New Hampshire",4,"Mathematics","10th",199.922500610352,197.645999145508,206.243999481201,-6.32149887084901,"All students"
"New Jersey",4,"Mathematics","10th",190.472999572754,194.011998748779,205.404999542237,-14.931999969483,"All students"
"New Mexico",4,"Mathematics","10th",179.087999725342,180.725499725342,190.351499938965,-11.263500213623,"All students"
"New York",4,"Mathematics","10th",184.769000244141,178.654999542236,193.184997558594,-8.41599731445299,"All students"
"North Carolina",4,"Mathematics","10th",191.872999572754,192.31250076294,202.073999023438,-10.200999450684,"All students"
"North Dakota",4,"Mathematics","10th",199.407500457764,200.333498382568,204.50299987793,-5.09549942016599,"All students"
"Ohio",4,"Mathematics","10th",192.370498657227,190.915999603272,201.966996765137,-9.59649810791001,"All students"
"Oklahoma",4,"Mathematics","10th",189.302000427246,189.217500305176,200.714499664307,-11.412499237061,"All students"
"Oregon",4,"Mathematics","10th",178.465501403808,182.513999938965,190.675500488281,-12.209999084473,"All students"
"Pennsylvania",4,"Mathematics","10th",189.690999603271,189.953499603271,197.604999542236,-7.91399993896499,"All students"
"Puerto Rico",4,"Mathematics","10th",141.353999328613,140.896997833252,147.896999359131,-6.54300003051799,"All students"
"Rhode Island",4,"Mathematics","10th",190.151498413086,190.970500183106,197.996001434326,-7.84450302124,"All students"
"South Carolina",4,"Mathematics","10th",191.326998901367,190.641500854492,195.245500946045,-3.91850204467801,"All students"
"South Dakota",4,"Mathematics","10th",195.482000732422,196.798499298096,201.479000091553,-5.996999359131,"All students"
"Tennessee",4,"Mathematics","10th",192.623500823975,193.758000946045,198.565501403809,-5.942000579834,"All students"
"Texas",4,"Mathematics","10th",195.981502532959,197.058000946045,205.419999694824,-9.438497161865,"All students"
"Utah",4,"Mathematics","10th",193.865000915527,192.390501403809,201.051500701904,-7.186499786377,"All students"
"Vermont",4,"Mathematics","10th",191.013000488281,190.507500457764,198.019499206543,-7.00649871826201,"All students"
"Virginia",4,"Mathematics","10th",190.395500946045,190.26549911499,208.59349899292,-18.197998046875,"All students"
"Washington",4,"Mathematics","10th",189.873999786377,189.934999084473,196.913999176025,-7.03999938964799,"All students"
"West Virginia",4,"Mathematics","10th",186.556000518799,185.257001495361,190.767999267578,-4.211998748779,"All students"
"Wisconsin",4,"Mathematics","10th",190.866501617432,192.979998779297,194.735501861572,-3.86900024414001,"All students"
"Wyoming",4,"Mathematics","10th",202.120001220703,203.312000274658,209.087000274658,-6.96699905395502,"All students"
"National",8,"Mathematics","10th",219.338998413086,224.337500762939,230.776998901367,-11.438000488281,"All students"
"Alabama",8,"Mathematics","10th",210.455000305176,214.02799987793,220.835499572754,-10.380499267578,"All students"
"Alaska",8,"Mathematics","10th",205.282999420166,217.520999908447,218.305498504639,-13.022499084473,"All students"
"Arizona",8,"Mathematics","10th",211.507501220703,219.920500183106,229.570500183105,-18.062998962402,"All students"
"Arkansas",8,"Mathematics","10th",216.162999725342,221.301999664307,223.380998229981,-7.21799850463901,"All students"
"California",8,"Mathematics","10th",211.062500762939,218.207998657227,223.201501464844,-12.139000701905,"All students"
"Colorado",8,"Mathematics","10th",222.094998931885,223.433499908447,232.750001525879,-10.655002593994,"All students"
"Connecticut",8,"Mathematics","10th",219.673999023437,223.144499206543,230.237001037598,-10.563002014161,"All students"
"Delaware",8,"Mathematics","10th",211.10950088501,216.382000732422,225.751499938965,-14.641999053955,"All students"
"District of Columbia",8,"Mathematics","10th",207.132499694824,209.607000732422,216.083499145508,-8.95099945068401,"All students"
"DoDEA",8,"Mathematics","10th",248.935501098633,249.81849975586,250.922499847412,-1.986998748779,"All students"
"Florida",8,"Mathematics","10th",216.916000366211,223.954000854492,227.421501159668,-10.505500793457,"All students"
"Georgia",8,"Mathematics","10th",214.262499237061,221.357999420166,229.407999420166,-15.145500183105,"All students"
"Hawaii",8,"Mathematics","10th",220.218501281738,221.512499237061,224.42799911499,-4.20949783325199,"All students"
"Idaho",8,"Mathematics","10th",226.704999542236,234.136000823975,236.976001739502,-10.271002197266,"All students"
"Illinois",8,"Mathematics","10th",220.329000091553,226.719999694824,231.833000946045,-11.504000854492,"All students"
"Indiana",8,"Mathematics","10th",226.721499633789,228.651000213623,235.979002380371,-9.25750274658202,"All students"
"Iowa",8,"Mathematics","10th",224.025499725342,229.068001556397,233.979498291016,-9.953998565674,"All students"
"Kansas",8,"Mathematics","10th",223.467999267578,224.392000579834,234.680499267578,-11.2125,"All students"
"Kentucky",8,"Mathematics","10th",219.914500427246,222.65350112915,229.886000061035,-9.97149963378899,"All students"
"Louisiana",8,"Mathematics","10th",217.714001464844,217.323500823975,223.948999023437,-6.23499755859302,"All students"
"Maine",8,"Mathematics","10th",222.286000061035,223.696499633789,232.007499694824,-9.72149963378899,"All students"
"Maryland",8,"Mathematics","10th",212.678499603272,214.590501403809,226.297500610352,-13.61900100708,"All students"
"Massachusetts",8,"Mathematics","10th",226.71549987793,232.310998535156,239.869000244141,-13.153500366211,"All students"
"Michigan",8,"Mathematics","10th",219.349500274658,223.45299911499,232.521501159668,-13.17200088501,"All students"
"Minnesota",8,"Mathematics","10th",230.619999694824,231.087501525879,238.299001312256,-7.67900161743199,"All students"
"Mississippi",8,"Mathematics","10th",220.293499755859,219.832999420166,228.1125,-7.81900024414102,"All students"
"Missouri",8,"Mathematics","10th",220.034999847412,223.814499664307,233.18450012207,-13.149500274658,"All students"
"Montana",8,"Mathematics","10th",225.764001464844,230.423999786377,234.358501434326,-8.594499969482,"All students"
"Nebraska",8,"Mathematics","10th",226.463999938965,228.644500732422,235.56549911499,-9.10149917602499,"All students"
"Nevada",8,"Mathematics","10th",215.072497558594,222.152499389648,223.932499694824,-8.86000213623001,"All students"
"New Hampshire",8,"Mathematics","10th",228.703498077393,230.828999328613,239.729499053955,-11.026000976562,"All students"
"New Jersey",8,"Mathematics","10th",221.938000488281,226.979001617432,235.225500488281,-13.2875,"All students"
"New Mexico",8,"Mathematics","10th",208.371499633789,215.125999450684,222.284001159668,-13.912501525879,"All students"
"New York",8,"Mathematics","10th",215.391000366211,220.69649887085,225.851499938965,-10.460499572754,"All students"
"North Carolina",8,"Mathematics","10th",217.537500762939,225.546500396729,231.371001434326,-13.833500671387,"All students"
"North Dakota",8,"Mathematics","10th",235.083500671387,233.467000579834,237.938001251221,-2.85450057983402,"All students"
"Ohio",8,"Mathematics","10th",224.757499694824,224.487499237061,234.18099899292,-9.423499298096,"All students"
"Oklahoma",8,"Mathematics","10th",216.956499481201,218.672002410889,232.208499145508,-15.251999664307,"All students"
"Oregon",8,"Mathematics","10th",213.225501251221,223.665000152588,227.454499816895,-14.228998565674,"All students"
"Pennsylvania",8,"Mathematics","10th",217.172499084473,223.344499206543,229.222499084473,-12.05,"All students"
"Puerto Rico",8,"Mathematics","10th",180.825498199463,178.395999145508,183.818000030518,-2.99250183105499,"All students"
"Rhode Island",8,"Mathematics","10th",211.717000579834,219.35299911499,221.304000091553,-9.586999511719,"All students"
"South Carolina",8,"Mathematics","10th",214.99400100708,220.323498535156,226.058499145508,-11.064498138428,"All students"
"South Dakota",8,"Mathematics","10th",231.554000854492,235.007998657227,237.411499786377,-5.857498931885,"All students"
"Tennessee",8,"Mathematics","10th",221.460498809815,222.006001281738,231.2625,-9.802001190185,"All students"
"Texas",8,"Mathematics","10th",218.59100189209,225.955000305176,233.467999267578,-14.876997375488,"All students"
"Utah",8,"Mathematics","10th",230.026000213623,231.981500244141,232.751499176025,-2.72549896240199,"All students"
"Vermont",8,"Mathematics","10th",224.377001190185,228.878499603272,235.764499664307,-11.387498474122,"All students"
"Virginia",8,"Mathematics","10th",219.986999511719,228.015000152588,238.147999572754,-18.161000061035,"All students"
"Washington",8,"Mathematics","10th",216.309498596191,225.471999359131,230.09349899292,-13.784000396729,"All students"
"West Virginia",8,"Mathematics","10th",209.447497558594,212.843999481201,224.433002471924,-14.98550491333,"All students"
"Wisconsin",8,"Mathematics","10th",228.501000213623,230.365999603271,237.633497619629,-9.132497406006,"All students"
"Wyoming",8,"Mathematics","10th",228.749999237061,234.932999420166,240.094003295899,-11.344004058838,"All students"
"National",4,"Reading","25th",188.66549987793,191.762000274658,196.978498840332,-8.31299896240202,"All students"
"Alabama",4,"Reading","25th",187.076999664307,188.359999847412,186.581999206543,0.495000457764007,"All students"
"Alaska",4,"Reading","25th",171.47200088501,174.412000274658,175.85950012207,-4.38749923705998,"All students"
"Arizona",4,"Reading","25th",178.682000732422,189.519000244141,190.950501251221,-12.268500518799,"All students"
"Arkansas",4,"Reading","25th",180.956999969482,184.360499572754,190.944000244141,-9.98700027465898,"All students"
"California",4,"Reading","25th",183.42799911499,186.15299911499,191.365000152588,-7.93700103759801,"All students"
"Colorado",4,"Reading","25th",195.198999786377,197.969497680664,202.545999145508,-7.34699935913102,"All students"
"Connecticut",4,"Reading","25th",191.126999664307,193.463498687744,201.079499053955,-9.95249938964801,"All students"
"Delaware",4,"Reading","25th",182.261500549317,180.966498565674,192.279498291016,-10.017997741699,"All students"
"District of Columbia",4,"Reading","25th",175.380001068115,173.691999816895,186.016498565674,-10.636497497559,"All students"
"DoDEA",4,"Reading","25th",212.54049911499,214.054001617432,217.340500640869,-4.800001525879,"All students"
"Florida",4,"Reading","25th",192.666500091553,202.462001037598,202.446999359131,-9.78049926757802,"All students"
"Georgia",4,"Reading","25th",187.353999328613,189.520500946045,193.282499694824,-5.92850036621098,"All students"
"Hawaii",4,"Reading","25th",189.973500061035,192.570500183106,191.79649810791,-1.822998046875,"All students"
"Idaho",4,"Reading","25th",189.525500488281,189.365000915527,200.65650100708,-11.131000518799,"All students"
"Illinois",4,"Reading","25th",186.407997894287,191.422999572754,194.104499053955,-7.696501159668,"All students"
"Indiana",4,"Reading","25th",195.776000976563,191.595500183105,198.558000946045,-2.781999969482,"All students"
"Iowa",4,"Reading","25th",190.599499511719,194.503999328613,199.082500457764,-8.48300094604502,"All students"
"Kansas",4,"Reading","25th",188.781000518799,188.755500030518,197.376500701904,-8.595500183105,"All students"
"Kentucky",4,"Reading","25th",191.873999786377,191.681001281738,198.177500152588,-6.30350036621101,"All students"
"Louisiana",4,"Reading","25th",189.000499725342,186.033500671387,183.640498352051,5.360001373291,"All students"
"Maine",4,"Reading","25th",183.136000061035,186.449500274658,197.828499603271,-14.692499542236,"All students"
"Maryland",4,"Reading","25th",184.726000976563,182.712001037598,193.564499664307,-8.83849868774399,"All students"
"Massachusetts",4,"Reading","25th",198.60950088501,201.215001678467,209.14649810791,-10.5369972229,"All students"
"Michigan",4,"Reading","25th",183.142001342773,185.557500457764,195.0875,-11.945498657227,"All students"
"Minnesota",4,"Reading","25th",190.13450012207,189.734499359131,200.298000335693,-10.163500213623,"All students"
"Mississippi",4,"Reading","25th",195.870999145508,193.84400100708,197.473503112793,-1.602503967285,"All students"
"Missouri",4,"Reading","25th",186.973000335693,187.380000305176,193.801500701904,-6.82850036621099,"All students"
"Montana",4,"Reading","25th",192.749999237061,194.964499664307,200.100001525879,-7.35000228881802,"All students"
"Nebraska",4,"Reading","25th",185.628499603271,194.577500915527,200.563999176025,-14.935499572754,"All students"
"Nevada",4,"Reading","25th",186.447499847412,185.490000915527,195.050997924805,-8.603498077393,"All students"
"New Hampshire",4,"Reading","25th",197.424001312256,197.983501434326,202.550000762939,-5.125999450683,"All students"
"New Jersey",4,"Reading","25th",195.942999267578,197.807501220703,204.227000427246,-8.28400115966801,"All students"
"New Mexico",4,"Reading","25th",171.376000213623,173.0125,181.722500610352,-10.346500396729,"All students"
"New York",4,"Reading","25th",187.591498565674,186.73450012207,196.005001831055,-8.41350326538102,"All students"
"North Carolina",4,"Reading","25th",185.506498718262,189.707499694824,197.870998382568,-12.364499664306,"All students"
"North Dakota",4,"Reading","25th",193.253500366211,195.281998443604,200.474000549317,-7.220500183106,"All students"
"Ohio",4,"Reading","25th",190.244501495361,193.872500610352,199.729499053955,-9.48499755859402,"All students"
"Oklahoma",4,"Reading","25th",182.226501464844,182.519499206543,195.072998046875,-12.846496582031,"All students"
"Oregon",4,"Reading","25th",176.14700012207,181.814499664307,193.401500701904,-17.254500579834,"All students"
"Pennsylvania",4,"Reading","25th",189.52200012207,193.926499176025,198.811500549317,-9.28950042724699,"All students"
"Rhode Island",4,"Reading","25th",189.105500793457,190.318500518799,196.79400100708,-7.688500213623,"All students"
"South Carolina",4,"Reading","25th",186.584499359131,189.945999145508,190.329998779297,-3.745499420166,"All students"
"South Dakota",4,"Reading","25th",190.37749786377,195.012999725342,200.717499542236,-10.340001678466,"All students"
"Tennessee",4,"Reading","25th",188.683499908447,187.04100112915,195.874499511719,-7.19099960327199,"All students"
"Texas",4,"Reading","25th",186.104502105713,187.9,191.63500289917,-5.53050079345698,"All students"
"Utah",4,"Reading","25th",193.250498199463,196.460499572754,203.479001617432,-10.228503417969,"All students"
"Vermont",4,"Reading","25th",184.078999328613,190.31549987793,199.305501556397,-15.226502227784,"All students"
"Virginia",4,"Reading","25th",186.86199798584,186.577501678467,200.177500152588,-13.315502166748,"All students"
"Washington",4,"Reading","25th",188.689498901367,189.637498474121,195.351000213623,-6.66150131225601,"All students"
"West Virginia",4,"Reading","25th",178.561501312256,179.969000244141,188.580500793457,-10.018999481201,"All students"
"Wisconsin",4,"Reading","25th",190.553500366211,193.222001647949,195.828499603271,-5.27499923706,"All students"
"Wyoming",4,"Reading","25th",199.420499420166,203.076499176025,206.069501495361,-6.649002075195,"All students"
"National",8,"Reading","25th",232.726000213623,236.356500244141,239.941999053955,-7.21599884033199,"All students"
"Alabama",8,"Reading","25th",224.824499511719,226.828498840332,230.386500549317,-5.56200103759798,"All students"
